corso_codice;materia_codice;materia_descrizione;url;tipo;docente_codice;docente_nome;lingua;e-learning;componente_id;componente_padre;componente_radice;componente_mutuazione
8849;75957;LETTERATURA TEATRALE CLASSICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393256;;33240;Iannucci Alessandro;Italiano;;393256;0;393256;
8849;8473;LINGUA E LETTERATURA GRECA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393257;;16729;Cavallini Eleonora;Italiano;;393257;0;393257;
8849;9165;STORIA DELL'ITALIA BIZANTINA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393258;;31070;Vespignani Giorgio;Italiano;;393258;0;393258;
8849;75958;LINGUA E LETTERATURA GRECA DI ET?Ç BIZANTINA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393259;;30753;Faraggiana di Sarzana Chiara Francesca;Italiano;;393259;0;393259;
8849;1009;STORIA ROMANA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393261;;34257;Gnoli Tommaso;Italiano;;393261;0;393261;
8849;4360;STORIA BIZANTINA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393262;;33388;Cosentino Salvatore;Italiano;;393262;0;393262;
8849;13812;STORIA DEL MEDITERRANEO IN ETA' MODERNA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393266;;32991;De Nicol?? Maria Lucia;Italiano;;393266;0;393266;
8849;932;STORIA CONTEMPORANEA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393267;;31853;Tomassini Luigi;Italiano;;393267;0;393267;
8849;2290;STORIA DELL'ARTE MODERNA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393285;;47253;Ghelfi Barbara;Italiano;;393285;0;393285;
8849;32449;STORIA DEL LIBRO E BIBLIOTECONOMIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393286;;85720;Sardo Lucia;Italiano;;393286;0;393286;
8849;72374;ARCHEOLOGIA DEL LIBRO MANOSCRITTO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393287;;35206;Degni Paola;Italiano;;393287;0;393287;
8849;4100;PALEOGRAFIA LATINA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393288;;35206;Degni Paola;Italiano;;393288;0;393288;
8849;6938;STORIA DELLA MUSICA MODERNA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393289;;15934;Pompilio Angelo;Italiano;;393289;0;393289;
8849;4447;ARCHEOLOGIA FENICIO-PUNICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393290;;40766;Secci Raimondo;Italiano;;393290;0;393290;
8849;7490;ARCHEOLOGIA E STORIA DELL'ARTE IRANICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393291;;30059;Callieri Pierfrancesco;Italiano;blended learning;393291;0;393291;
8849;10702;ARCHEOLOGIA DELLA TARDA ANTICHITA';http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393292;;33313;David Max Victor;Italiano;;393292;0;393292;
8849;67044;INTRODUZIONE ALLA ETRUSCOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393293;;40091;Pizzirani Chiara;Italiano;;393293;0;393293;
8849;11378;ARCHEOLOGIA MEDIEVALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393294;;33267;Augenti Andrea;Italiano;;393294;0;393294;
8849;455;GEOGRAFIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393296;;33273;Neve Mario Angelo;Italiano;;393296;0;393296;
8849;32707;ECOLOGIA E DINAMICHE DELLE POPOLAZIONI UMANE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393297;;14869;Gruppioni Giorgio;Italiano;;393297;0;393297;
8849;32707;ECOLOGIA E DINAMICHE DELLE POPOLAZIONI UMANE (1);;modulo;14869;Gruppioni Giorgio;Italiano;;420314;393297;393297;
8849;32707;ECOLOGIA E DINAMICHE DELLE POPOLAZIONI UMANE (2);;modulo;14869;Gruppioni Giorgio;;;420315;393297;393297;
8849;23899;DIRITTO DEI BENI CULTURALI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393299;;30944;Aicardi Nicola;Italiano;;393299;0;393299;
8849;75965;INTRODUZIONE ALL'ECONOMIA DELL'ARTE E DELLA LETTERATURA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393300;;45974;Zagaglia Paolo;Italiano;;393300;0;393300;
8849;7021;ARCHEOMETRIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393301;;33146;Vandini Mariangela;Italiano;;393301;0;393301;
8849;7052;CHIMICA DEL RESTAURO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393302;;36184;Chiavari Cristina;Italiano;;393302;0;393302;
8849;15137;STORIA E TECNICA DELLA FOTOGRAFIA E DEGLI AUDIOVISIVI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393305;;31853;Tomassini Luigi;Italiano;;393305;0;393305;
8849;15137;STORIA E TECNICA DELLA FOTOGRAFIA E DEGLI AUDIOVISIVI (1);;modulo;31853;Tomassini Luigi;Italiano;;414599;393305;393305;
8849;15137;STORIA E TECNICA DELLA FOTOGRAFIA E DEGLI AUDIOVISIVI (2);;modulo;39618;Biscioni Raffaella;;;414600;393305;393305;
8849;75966;INTRODUZIONE ALLA MUSICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393306;;32115;Restani Donatella;Italiano;;393306;0;393306;
8849;9617;NUMISMATICA GRECA E ROMANA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393310;;32928;Morelli Anna;Italiano;;393310;0;393310;
8849;58157;ABILITA' INFORMATICHE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393312;;33240;Iannucci Alessandro;Italiano;;393312;0;393312;393312
8849;75968;ATTIVITA' DI SCAVO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393313;;40091;Pizzirani Chiara;;;393313;0;393313;
8849;15349;TIROCINIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393314;;31070;Vespignani Giorgio;;;393314;0;393314;
8849;17268;PROVA FINALE;;;;;;;393315;0;393315;
