corso_codice;materia_codice;materia_descrizione;url;tipo;docente_codice;docente_nome;lingua;e-learning;componente_id;componente_padre;componente_radice;componente_mutuazione
659;69918;INFORMATION TECHNOLOGY AND LAW (1);;modulo;33019;Sartor Giovanni;Inglese;;415223;377467;377467;415088
659;69918;INFORMATION TECHNOLOGY AND LAW (2);;modulo;34488;Palmirani Monica;;;415224;377467;377467;415089
659;1855;DIRITTO INTERNAZIONALE PRIVATO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377469;;15803;Zanobetti Alessandra;Italiano;;377469;0;377469;
659;69926;COMPARATIVE CONSTITUTIONALISM;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377494;;31278;Mancini Susanna;Inglese;;377494;0;377494;377494
659;70342;DIRITTO COSTITUZIONALE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378789;;34318;Giupponi Tomaso Francesco;Italiano;;378789;0;378789;204756
659;70344;DIRITTO PRIVATO (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378794;;30577;Berti Carlo;Italiano;;378794;0;378794;394552
659;70376;ECONOMIA POLITICA (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378946;;34768;Leoncini Riccardo;Italiano;;378946;0;378946;402819
659;70377;ISTITUZIONI DI DIRITTO ROMANO (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378947;;33134;Briguglio Filippo;Italiano;;378947;0;378947;204798
659;70378;STORIA DEL DIRITTO MEDIOEVALE E MODERNO (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378948;;39072;Cavina Marco;Italiano;;378948;0;378948;204817
659;70379;INTRODUZIONE AL DIRITTO PRIVATO E PENALE FRANCESE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378949;;40701;Sinopoli Laurence;;;378949;0;378949;
659;70379;INTRODUZIONE AL DIRITTO PRIVATO E PENALE FRANCESE (F) (1);;modulo;40701;Sinopoli Laurence;;;380215;378949;378949;
659;70379;INTRODUZIONE AL DIRITTO PRIVATO E PENALE FRANCESE (F) (2);;modulo;;;;;380216;378949;378949;
659;70379;INTRODUZIONE AL DIRITTO PRIVATO E PENALE FRANCESE (F) (3);;modulo;;;;;380217;378949;378949;
659;70395;DIRITTO AMMINISTRATIVO (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378984;;31876;Dugato Marco;Italiano;;378984;0;378984;378891
659;70396;DIRITTO DEL LAVORO (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378985;;30205;Focareta Franco;Italiano;;378985;0;378985;401873
659;70397;PROCEDURA PENALE EUROPEA E INTERNAZIONALE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378986;;35788;Caianiello Michele;Italiano;;378986;0;378986;310295
659;70398;DIRITTO CIVILE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378987;;16669;Memmo Daniela;Italiano;;378987;0;378987;394557
659;70401;DIRITTO PENALE II (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378988;;34214;Vicoli Daniele;Italiano;;378988;0;378988;332251
659;70402;DIRITTO INTERNAZIONALE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378989;;15803;Zanobetti Alessandra;Italiano;;378989;0;378989;204765
659;70403;STORIA DEL DIRITTO ROMANO (F);;;;;;;378991;0;378991;
659;71803;INTRODUZIONE AL DIRITTO PUBBLICO FRANCESE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/383259;;;;;;383259;0;383259;
659;71803;INTRODUZIONE AL DIRITTO PUBBLICO FRANCESE (F) (1);;modulo;;;;;388845;383259;383259;
659;71803;INTRODUZIONE AL DIRITTO PUBBLICO FRANCESE (F) (2);;modulo;;;;;388846;383259;383259;
659;71803;INTRODUZIONE AL DIRITTO PUBBLICO FRANCESE (F) (3);;modulo;;;;;388847;383259;383259;
659;71797;PROCEDURA PENALE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/383390;;35788;Caianiello Michele;Italiano;;383390;0;383390;333999
659;71880;CRIME, PUNISHMENT AND SOCIETY;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/383394;;14679;Melossi Dario;Inglese;;383394;0;383394;383394
659;71881;PROCEDURA PENALE AVANZATA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/383395;;34214;Vicoli Daniele;Italiano;;383395;0;383395;383395
659;71802;DIRITTO COMMERCIALE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/388669;;30698;Vella Francesco;Italiano;;388669;0;388669;394565
