corso_codice;materia_codice;materia_descrizione;url;tipo;docente_codice;docente_nome;lingua;e-learning;componente_id;componente_padre;componente_radice;componente_mutuazione
8014;78791;PROGRAMMAZIONE INTERNET (2);;modulo;39118;Ferretti Stefano;Italiano;;412679;402302;402300;
8014;58289;PARADIGMI DI PROGRAMMAZIONE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/426498;;34486;Gabbrielli Maurizio;;;426498;0;426498;343880
8015;88;CHIMICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/323002;;15587;Bigi Adriana;Italiano;;323002;0;323002;
8015;674;MATEMATICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/323003;;14293;Desalvo Fausto;Italiano;;323003;0;323003;
8015;405;FISICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/323007;;16910;Spurio Maurizio;Italiano;;323007;0;323007;
8015;405;FISICA (1);;modulo;16910;Spurio Maurizio;Italiano;;394767;323007;323007;
8015;405;FISICA (2);;modulo;43717;Rinaldi Lorenzo;;;394768;323007;323007;
8015;722;MINERALOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/323008;;16619;Gasparotto Giorgio;Italiano;;323008;0;323008;
8015;757;PALEONTOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/323011;;37097;Vaiani Stefano Claudio;Italiano;;323011;0;323011;
8015;452;GEOCHIMICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/323015;;32535;Dinelli Enrico;Italiano;;323015;0;323015;
8015;10815;GEOMORFOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/323016;;31022;Capozzi Rossella;Italiano;;323016;0;323016;
8015;10815;GEOMORFOLOGIA (1);;modulo;31022;Capozzi Rossella;Italiano;;394780;323016;323016;
8015;10815;GEOMORFOLOGIA (2);;modulo;74386;Brardinoni Francesco;;;407275;323016;323016;
8015;799;PETROGRAFIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/323018;;40762;Braga Roberto;Italiano;;323018;0;323018;
8015;799;PETROGRAFIA (1);;modulo;40762;Braga Roberto;Italiano;;394790;323018;323018;389574
8015;799;PETROGRAFIA (4);;modulo;40762;Braga Roberto;Italiano;;421023;323018;323018;
8015;799;PETROGRAFIA (2);;modulo;15111;Bargossi Giuseppe Maria;;;394791;323018;323018;
8015;799;PETROGRAFIA (3);;modulo;35816;Garofalo Paolo;;;394792;323018;323018;
8015;18389;GEOLOGIA DELL'ITALIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/323021;;16620;Cavazza William;Italiano;;323021;0;323021;
8015;27975;PRINCIPI DI MECCANICA DELLE TERRE E DELLE ROCCE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/323022;;36803;Berti Matteo;Italiano;;323022;0;323022;
8015;27975;PRINCIPI DI MECCANICA DELLE TERRE E DELLE ROCCE (1);;modulo;36803;Berti Matteo;Italiano;;394800;323022;323022;
8015;27975;PRINCIPI DI MECCANICA DELLE TERRE E DELLE ROCCE (2);;modulo;32823;Simoni Alessandro;;;394801;323022;323022;
8015;8623;SPELEOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/323041;;39871;De Waele Jo Hilaire Agnes;Italiano;;323041;0;323041;
8015;35526;PETROGRAFIA APPLICATA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/341872;;15111;Bargossi Giuseppe Maria;Italiano;;341872;0;341872;
8015;35526;PETROGRAFIA APPLICATA (1);;modulo;15111;Bargossi Giuseppe Maria;Italiano;;394814;341872;341872;394814
8015;35526;PETROGRAFIA APPLICATA (2);;modulo;16619;Gasparotto Giorgio;;;394815;341872;341872;
8015;37467;STRATIGRAFIA E SEDIMENTOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/350755;;31498;Amorosi Alessandro;Italiano;;350755;0;350755;
8015;69259;INFORMATICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/375992;;39882;Dal Lago Ugo;Italiano;;375992;0;375992;
8015;69259;INFORMATICA (1);;modulo;39882;Dal Lago Ugo;Italiano;;375993;375992;375992;
8015;69259;INFORMATICA (2);;modulo;31716;Cantelli Luigi;;;375994;375992;375992;
8015;432;FISICA TERRESTRE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/375999;;15982;Mulargia Francesco;Italiano;;375999;0;375999;
8015;69261;GEOLOGIA STRUTTURALE E TETTONICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/376000;;83333;Viola Giulio;;;376000;0;376000;
8015;69262;RILEVAMENTO GEOLOGICO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/376001;;23772;Selli Luigi;Italiano;;376001;0;376001;
8015;69262;RILEVAMENTO GEOLOGICO (1);;modulo;23772;Selli Luigi;Italiano;;404187;376001;376001;
8015;69262;RILEVAMENTO GEOLOGICO (2);;modulo;45508;Fanti Federico;;;404188;376001;376001;
8015;29746;TIROCINIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/376007;;16619;Gasparotto Giorgio;;;376007;0;376007;
8015;72826;SISMOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/385134;;30703;Gasperini Paolo;Italiano;;385134;0;385134;
8015;72826;SISMOLOGIA (1);;modulo;30703;Gasperini Paolo;Italiano;;394818;385134;385134;
