"";"Collettivo selezionato";"architettura e processo edilizio (L-23)";"attuazione e gestione del progetto in architettura (4)(1) ";"ingegneria aerospaziale (10)(1) ";"ingegneria aerospaziale (L-9)";"ingegneria biomedica (9)(1) ";"ingegneria biomedica (L-8)";"ingegneria chimica e biochimica (L-9)";"ingegneria civile (8)";"ingegneria civile (L-7)";"ingegneria dei processi gestionali (9)(1) ";"ingegneria dell'automazione (9)(1) ";"ingegneria dell'automazione (L-8)";"ingegneria delle telecomunicazioni - sede di Bologna (9)(1) ";"ingegneria dell'energia elettrica (L-9)";"ingegneria edile (4)";"ingegneria edile (L-23)";"ingegneria elettrica (10)(1) ";"ingegneria elettronica (9)(1) ";"ingegneria elettronica e delle telecomunicazioni (9)(1) ";"ingegneria elettronica e telecomunicazioni (L-8)";"ingegneria elettronica per l'energia e l'informazione - già ingegneria dei sistemi elettronici per lo sviluppo sostenibile (L-8)";"ingegneria elettronica, informatica e telecomunicazioni (L-8)(1) ";"ingegneria energetica (10)(1) ";"ingegneria energetica (L-9)";"ingegneria gestionale (10)";"ingegneria gestionale (L-9)";"ingegneria informatica - sede di Bologna (9)";"ingegneria informatica - sede di Cesena (9)(1) ";"ingegneria informatica (L-8)";"ingegneria meccanica - sede di Bologna (10)";"ingegneria meccanica - sede di Bologna (L-9)";"ingegneria meccanica - sede di Forlì (10)(1) ";"ingegneria meccanica - sede di Forlì (L-9)";"ingegneria per l'ambiente e il territorio (8)";"ingegneria per l'ambiente e il territorio (L-7)"
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"autonomo/in conto proprio";"34,7";"58,6";"*";"*";"33,3";"*";"26,3";"37,0";"50,0";"41,7";"*";"*";"32,6";"*";"25,8";"50,0";"52,1";"*";"*";"*";"42,3";"22,7";"*";"*";"36,6";"33,3";"29,1";"33,3";"*";"33,9";"25,0";"39,4";"*";"15,9";"33,3";"28,9"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"provincia di residenza";"70,1";"75,9";"*";"*";"53,3";"*";"75,4";"64,8";"83,3";"74,2";"*";"*";"76,7";"*";"83,9";"100,0";"83,1";"*";"*";"*";"61,5";"79,5";"*";"*";"60,0";"77,8";"65,0";"55,6";"*";"71,2";"62,5";"69,7";"*";"77,3";"66,7";"73,7"
"provincia degli studi";"64,5";"72,4";"*";"*";"43,3";"*";"68,4";"57,4";"83,3";"65,2";"*";"*";"72,1";"*";"83,9";"50,0";"62,0";"*";"*";"*";"53,8";"68,2";"*";"*";"57,9";"55,6";"69,9";"44,4";"*";"76,3";"12,5";"66,1";"*";"68,2";"33,3";"65,8"
"regione degli studi";"57,0";"65,5";"*";"*";"50,0";"*";"70,2";"59,3";"83,3";"55,3";"*";"*";"53,5";"*";"80,6";"25,0";"54,9";"*";"*";"*";"46,2";"50,0";"*";"*";"53,1";"55,6";"63,1";"44,4";"*";"61,0";"12,5";"54,1";"*";"52,3";"16,7";"68,4"
"Italia settentrionale";"56,3";"55,2";"*";"*";"56,7";"*";"56,1";"63,0";"83,3";"53,8";"*";"*";"58,1";"*";"77,4";"62,5";"56,3";"*";"*";"*";"53,8";"45,5";"*";"*";"49,7";"66,7";"64,6";"44,4";"*";"66,1";"25,0";"60,6";"*";"45,5";"50,0";"34,2"
"Italia centrale";"34,9";"37,9";"*";"*";"46,7";"*";"45,6";"44,4";"66,7";"36,4";"*";"*";"25,6";"*";"38,7";"50,0";"35,2";"*";"*";"*";"19,2";"31,8";"*";"*";"34,5";"22,2";"33,5";"22,2";"*";"35,6";"25,0";"35,8";"*";"27,3";"50,0";"34,2"
"Italia meridionale";"19,8";"20,7";"*";"*";"40,0";"*";"28,1";"18,5";"-";"22,7";"*";"*";"16,3";"*";"25,8";"37,5";"18,3";"*";"*";"*";"11,5";"9,1";"*";"*";"19,3";"22,2";"18,9";"22,2";"*";"16,9";"25,0";"22,9";"*";"18,2";"33,3";"10,5"
"Stato europeo";"54,4";"58,6";"*";"*";"76,7";"*";"50,9";"61,1";"50,0";"54,5";"*";"*";"46,5";"*";"45,2";"50,0";"40,8";"*";"*";"*";"50,0";"43,2";"*";"*";"53,1";"55,6";"62,1";"44,4";"*";"66,1";"37,5";"61,5";"*";"40,9";"50,0";"52,6"
"Stato extraeuropeo";"42,3";"34,5";"*";"*";"73,3";"*";"45,6";"48,1";"50,0";"43,9";"*";"*";"27,9";"*";"35,5";"37,5";"33,8";"*";"*";"*";"38,5";"38,6";"*";"*";"41,4";"22,2";"45,6";"55,6";"*";"50,8";"37,5";"49,5";"*";"36,4";"16,7";"28,9"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"sì, anche con trasferimenti di residenza";"47,5";"44,8";"*";"*";"86,7";"*";"47,4";"53,7";"83,3";"47,0";"*";"*";"27,9";"*";"41,9";"25,0";"39,4";"*";"*";"*";"38,5";"29,5";"*";"*";"46,2";"55,6";"55,8";"44,4";"*";"54,2";"37,5";"51,4";"*";"34,1";"33,3";"50,0"
"sì, anche frequenti (senza cambi di residenza)";"36,1";"27,6";"*";"*";"3,3";"*";"40,4";"37,0";"16,7";"35,6";"*";"*";"51,2";"*";"38,7";"75,0";"36,6";"*";"*";"*";"42,3";"45,5";"*";"*";"41,4";"33,3";"34,0";"11,1";"*";"28,8";"37,5";"37,6";"*";"40,9";"33,3";"26,3"
"sì, ma solo in numero limitato";"14,8";"24,1";"*";"*";"10,0";"*";"12,3";"7,4";"-";"15,2";"*";"*";"18,6";"*";"19,4";"-";"22,5";"*";"*";"*";"11,5";"25,0";"*";"*";"11,0";"11,1";"8,3";"44,4";"*";"15,3";"25,0";"11,0";"*";"22,7";"16,7";"23,7"
"non disponibili a trasferte";"0,8";"3,4";"*";"*";"-";"*";"-";"1,9";"-";"0,8";"*";"*";"2,3";"*";"-";"-";"1,4";"*";"*";"*";"7,7";"-";"*";"*";"0,7";"-";"0,5";"-";"*";"1,7";"-";"-";"*";"-";"-";"-"
